ÎÎ²Î´Î®ÏÏÎ½	info@avdera.gr
ÎÎ³Î±Î¸Î¿Î½Î·ÏÎ¯Î¿Ï	k.agathonisiou@kep.gov.gr   -   agathon@otenet.gr
ÎÎ³Î¹Î¬Ï	mayordagias@0559.syzefxis.gov.gr   -   info@dimosagias.gr  -   dagias@0559.syzefxis.gov.gr
ÎÎ³Î¯Î±Ï ÎÎ±ÏÎ²Î¬ÏÎ±Ï	grdim@agiavarvara.gr
ÎÎ³Î¯Î±Ï Î Î±ÏÎ±ÏÎºÎµÏÎ®Ï	dimos@agiaparaskevi.gr
ÎÎ³Î¯Î¿Ï ÎÎ±ÏÎ¹Î»ÎµÎ¯Î¿Ï	dimoslam@otenet.gr
ÎÎ³Î¯Î¿Ï ÎÎ·Î¼Î·ÏÏÎ¯Î¿Ï	dad-may@dad.gr
ÎÎ³Î¯Î¿Ï ÎÏÏÏÏÎ±ÏÎ¯Î¿Ï	aistratis@altecnet.gr
ÎÎ³Î¯Î¿Ï ÎÎ¹ÎºÎ¿Î»Î¬Î¿Ï	grafdim@yahoo.gr
ÎÎ³Î¹ÏÎ½ ÎÎ½Î±ÏÎ³ÏÏÏÎ½ - ÎÎ±Î¼Î±ÏÎµÏÎ¿Ï	agiianargirinas@0087.syzefxis.gov.gr
ÎÎ³ÎºÎ¹ÏÏÏÎ¯Î¿Ï	kagistri@otenet.gr
ÎÎ³ÏÎ¬ÏÏÎ½	info@agrafa.gr
ÎÎ³ÏÎ¹Î½Î¯Î¿Ï	dimarxos@agrinio.gr
ÎÎ¸Î·Î½Î±Î¯ÏÎ½	mayor@athens.gr
ÎÎ¹Î³Î¬Î»ÎµÏ	egaleo@egaleo.gr
ÎÎ¹Î³Î¹Î±Î»ÎµÎ¯Î±Ï	admin@aigialeia.gov.gr
ÎÎ¯Î³Î¹Î½Î±Ï	grafeiodimarxou@aeginadimos.gr
ÎÎºÏÎ¹Î¿Ï - ÎÏÎ½Î¹ÏÏÎ±Ï	anact@otenet.gr
ÎÎ»ÎµÎ¾Î¬Î½Î´ÏÎµÎ¹Î±Ï	info@alexandria.gr
ÎÎ»ÎµÎ¾Î±Î½Î´ÏÎ¿ÏÏÎ¿Î»Î·Ï	dimarxos@alexpolis.gr
ÎÎ»Î¹Î¬ÏÏÎ¿Ï - ÎÎµÏÏÎ¹Î­ÏÎ½	aliartos@otenet.gr
ÎÎ»Î¯Î¼Î¿Ï	info@alimos.gr
ÎÎ»Î¼ÏÏÎ¿Ï	gram.dhmarxou@almiros.gr
ÎÎ»Î¼ÏÏÎ¯Î±Ï	syzefxis@0598.syzefxis.gov.gr
ÎÎ»Î¿Î½Î½Î®ÏÎ¿Ï	dimosalo@otenet.gr
ÎÎ¼Î±ÏÎ¯Î¿Ï	info@amario.com.gr
ÎÎ¼Î±ÏÎ¿ÏÏÎ¯Î¿Ï	dimarxos@maroussi.gr
ÎÎ¼Î¿ÏÎ³Î¿Ï	amorgos@aigaio.gr
ÎÎ¼ÏÎµÎ»Î¿ÎºÎ®ÏÏÎ½ - ÎÎµÎ½ÎµÎ¼Î­Î½Î·Ï	info@ampelokipi-menemeni.gr
ÎÎ¼ÏÎ½ÏÎ±Î¯Î¿Ï	dimarxos@amyntaio.gr
ÎÎ¼ÏÎ¯ÎºÎ»ÎµÎ¹Î±Ï - ÎÎ»Î¬ÏÎµÎ¹Î±Ï	info@dimos-amfiklias-elatias.gr
ÎÎ¼ÏÎ¹Î»Î¿ÏÎ¯Î±Ï	dimamfil@otenet.gr
ÎÎ¼ÏÎ¯ÏÎ¿Î»Î·Ï	info@dimos-amfipolis.gr
ÎÎ½Î±ÏÎ¿Î»Î¹ÎºÎ®Ï ÎÎ¬Î½Î·Ï	dimarxos@1315.syzefxis.gov.gr
ÎÎ½Î±ÏÎ¿Î»Î¹ÎºÎ®Ï Î£Î¬Î¼Î¿Ï	news@vathi.gr
